Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 11 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Texas
Location name (ESRI Maps): None
Station Name: None
Latitude: 29.9433376336597 Degree
Longitude: -95.4348014240934 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,18,21,25,28,32,35,40,43
10-min:, 20,23,29,34,41,46,51,56,62,67
15-min:, 25,30,37,43,51,57,63,69,78,85
30-min:, 36,42,52,60,71,79,88,97,111,122
60-min:, 48,56,70,81,97,108,120,135,156,174
2-hr:, 58,70,90,107,132,151,173,199,239,274
3-hr:, 63,79,102,124,156,182,212,249,305,354
6-hr:, 72,94,125,154,199,238,283,336,419,490
12-hr:, 83,110,148,185,242,293,352,422,527,618
24-hr:, 95,128,173,219,289,353,427,510,634,738
2-day:, 107,148,203,258,345,425,516,609,738,840
3-day:, 117,161,221,281,375,462,558,655,784,885
4-day:, 126,171,234,296,393,481,578,675,805,906
7-day:, 146,193,260,324,422,510,606,704,836,939
10-day:, 163,211,281,346,446,533,628,726,858,962
20-day:, 215,266,344,413,514,598,688,782,912,1016
30-day:, 260,313,398,470,573,654,739,830,958,1059
45-day:, 326,384,480,559,667,748,831,918,1037,1130
60-day:, 386,449,555,641,754,838,920,1003,1112,1195

Date/time (GMT):  Tue Jun 17 22:33:56 2025
pyRunTime:  0.007205963134765625
